学校名,住所,区,学校種別,設置区分,特別支援
さいたま市立宮前中学校,埼玉県さいたま市西区宮前町１４６７－１,西区,中学校,公立,知的固定・情緒固定あり
さいたま市立植水中学校,埼玉県さいたま市西区三条町３４５－１,西区,中学校,公立,知的固定・情緒固定あり
さいたま市立土屋中学校,埼玉県さいたま市西区土屋１７６６－１,西区,中学校,公立,知的固定・情緒固定あり
さいたま市立日進中学校,埼玉県さいたま市北区櫛引町２－５０３－１,北区,中学校,公立,知的固定・情緒固定あり
さいたま市立宮原中学校,埼玉県さいたま市北区宮原町４－１２９,北区,中学校,公立,知的固定・情緒固定あり
さいたま市立植竹中学校,埼玉県さいたま市北区土呂町３５２番地,北区,中学校,公立,知的固定・情緒固定あり
さいたま市立泰平中学校,埼玉県さいたま市北区本郷町１９９１,北区,中学校,公立,知的固定・情緒固定あり
さいたま市立土呂中学校,埼玉県さいたま市北区見沼３－７５,北区,中学校,公立,知的固定・情緒固定あり
さいたま市立大宮東中学校,埼玉県さいたま市大宮区堀の内町１－９９,大宮区,中学校,公立,知的固定・情緒固定あり
さいたま市立大宮南中学校,埼玉県さいたま市大宮区天沼町２－３６２,大宮区,中学校,公立,知的固定・情緒固定あり
さいたま市立大宮北中学校,埼玉県さいたま市大宮区寿能町１－２１,大宮区,中学校,公立,知的固定・情緒固定あり
さいたま市立桜木中学校,埼玉県さいたま市大宮区桜木町４－２１９,大宮区,中学校,公立,知的固定・情緒固定あり
さいたま市立三橋中学校,埼玉県さいたま市大宮区三橋１－１３００,大宮区,中学校,公立,知的固定・情緒固定あり
さいたま市立大成中学校,埼玉県さいたま市大宮区大成町２－３７９,大宮区,中学校,公立,知的固定・情緒固定あり
さいたま市立第二東中学校,埼玉県さいたま市大宮区天沼町１－７６０,大宮区,中学校,公立,知的固定・情緒固定あり
さいたま市立大砂土中学校,埼玉県さいたま市見沼区東大宮１－１００－１,見沼区,中学校,公立,知的固定・情緒固定あり
さいたま市立片柳中学校,埼玉県さいたま市見沼区御蔵５５１,見沼区,中学校,公立,知的固定・情緒固定あり
さいたま市立春里中学校,埼玉県さいたま市見沼区大字小深作２６８－１９,見沼区,中学校,公立,知的固定・情緒固定あり
さいたま市立七里中学校,埼玉県さいたま市見沼区東宮下１－１－１,見沼区,中学校,公立,知的固定・情緒固定あり
さいたま市立大谷中学校,埼玉県さいたま市見沼区大谷１６３４－２,見沼区,中学校,公立,知的固定・情緒固定あり
さいたま市立大宮八幡中学校,埼玉県さいたま市見沼区南中丸３５７,見沼区,中学校,公立,知的固定・情緒固定あり
さいたま市立春野中学校,埼玉県さいたま市見沼区春野２－２－１,見沼区,中学校,公立,知的固定・情緒固定あり
さいたま市立与野東中学校,埼玉県さいたま市中央区下落合３－２１－１０,中央区,中学校,公立,知的固定・情緒固定あり
さいたま市立与野西中学校,埼玉県さいたま市中央区鈴谷８－１０－３３,中央区,中学校,公立,知的固定・情緒固定あり
さいたま市立与野南中学校,埼玉県さいたま市中央区大戸２－６－２５,中央区,中学校,公立,知的固定・情緒固定あり
さいたま市立八王子中学校,埼玉県さいたま市中央区八王子４－２－１,中央区,中学校,公立,知的固定・情緒固定あり
さいたま市立土合中学校,埼玉県さいたま市桜区町谷１－１９－１,桜区,中学校,公立,知的固定・情緒固定あり
さいたま市立大久保中学校,埼玉県さいたま市桜区五関２８２,桜区,中学校,公立,知的固定・情緒固定あり
さいたま市立田島中学校,埼玉県さいたま市桜区田島１０－１３－１,桜区,中学校,公立,知的固定・情緒固定あり
